Tarih,Gün,Ürün Adı,Birim,En Düşük Fiyat,En Yüksek Fiyat
19.04.2021,Pazartesi,MAYDONOZ,Bağ,"0,5",1
19.04.2021,Pazartesi,NANE (BAĞ),Bağ,"0,7",1
19.04.2021,Pazartesi,PANCAR (KIRMIZI),Kg,"1,5","2,5"
19.04.2021,Pazartesi,PATATES,Kg,"0,8",1
19.04.2021,Pazartesi,PATATES (TAZE),Kg,"2,5",4
19.04.2021,Pazartesi,PATLICAN (KEMER),Kg,3,5
19.04.2021,Pazartesi,PATLICAN (TOPAK),Kg,2,"3,5"
19.04.2021,Pazartesi,PIRASA,Kg,2,3
19.04.2021,Pazartesi,ROKA (BAĞ),Bağ,"0,5",1
19.04.2021,Pazartesi,SALATALIK (SİLOR),Kg,"4,5",6
19.04.2021,Pazartesi,SALATALIK (MUHTELİF),Kg,3,"4,5"
19.04.2021,Pazartesi,SARIMSAK (KURU),Kg,15,30
19.04.2021,Pazartesi,SEMİZ OTU (BAĞ),Bağ,1,2
19.04.2021,Pazartesi,SOGAN (KIRMIZI),Kg,3,"4,5"
19.04.2021,Pazartesi,SOGAN (YEŞİL),Kg,3,5
19.04.2021,Pazartesi,TERE,Bağ,"0,5",1
19.04.2021,Pazartesi,TURP (MUHTELİF),Kg,1,3
22.04.2021,Perşembe,BAKLA,Kg,3,"5,5"
22.04.2021,Perşembe,BİBER (CİN),Kg,13,20
22.04.2021,Perşembe,BİBER (ÇARLİ),Kg,6,8
22.04.2021,Perşembe,BİBER (DOLMA),Kg,6,8
22.04.2021,Perşembe,BİBER (KIL),Kg,8,11
22.04.2021,Perşembe,BİBER (KAPYA),Kg,"8,5",17
22.04.2021,Perşembe,BİBER (SİVRİ),Kg,6,9
22.04.2021,Perşembe,BİBER (KÖY),Kg,5,8
22.04.2021,Perşembe,BROKOLİ,Kg,6,9
22.04.2021,Perşembe,DERE OTU,Bağ,"0,5",1
22.04.2021,Perşembe,DOMATES (Çeri),Kg,8,13
22.04.2021,Perşembe,DOMATES (MUHTELİF),Kg,"3,5",6
22.04.2021,Perşembe,DOMATES (SALKIM),Kg,"4,5",7
22.04.2021,Perşembe,DOMATES (KÖY),Kg,"4,5",7
22.04.2021,Perşembe,EKŞİ OT (BAĞ),Bağ,"0,5",1
22.04.2021,Perşembe,ENGİNAR (ADET),Adet,5,7
22.04.2021,Perşembe,FASULYE (MUHTELİF),Kg,6,12
22.04.2021,Perşembe,FESLEĞEN (REYHAN),Bağ,1,2
22.04.2021,Perşembe,HAVUÇ,Kg,1,"2,5"
22.04.2021,Perşembe,ISPANAK,Kg,"1,5",3
22.04.2021,Perşembe,KABAK (BAL),Kg,1,2
22.04.2021,Perşembe,KABAK (BEYAZ),Kg,"2,5",5
22.04.2021,Perşembe,KABAK (KARA),Kg,"2,5",4
22.04.2021,Perşembe,KARNABAHAR,Kg,"1,5",3
22.04.2021,Perşembe,KEREVİZ,Kg,2,4
22.04.2021,Perşembe,LAHANA (BEYAZ),Kg,"0,7","1,8"
22.04.2021,Perşembe,LAHANA (MOR),Kg,1,2
22.04.2021,Perşembe,MANTAR (KÜLTÜR),Kg,7,14
22.04.2021,Perşembe,MARUL (MOR),Adet,"2,5",4
22.04.2021,Perşembe,MARUL (MUHTELİF),Adet,3,"4,8"
22.04.2021,Perşembe,MAYDONOZ,Bağ,"0,5",1
22.04.2021,Perşembe,NANE (BAĞ),Bağ,"0,7","1,2"
22.04.2021,Perşembe,PANCAR (KIRMIZI),Kg,"1,5","2,5"
22.04.2021,Perşembe,PATATES,Kg,"0,8","1,7"
22.04.2021,Perşembe,PATATES (TAZE),Kg,2,"3,5"
22.04.2021,Perşembe,PATLICAN (KEMER),Kg,"2,5",4
22.04.2021,Perşembe,PATLICAN (TOPAK),Kg,2,"3,5"
22.04.2021,Perşembe,PIRASA,Kg,"1,5","2,5"
22.04.2021,Perşembe,ROKA (BAĞ),Bağ,"0,5","1,2"
22.04.2021,Perşembe,SALATALIK (SİLOR),Kg,"3,5",5
22.04.2021,Perşembe,SALATALIK (MUHTELİF),Kg,"2,8",4
22.04.2021,Perşembe,SARIMSAK (KURU),Kg,15,30
22.04.2021,Perşembe,SEMİZ OTU (BAĞ),Bağ,1,2
22.04.2021,Perşembe,SOGAN (KURU),Kg,"0,8","1,5"
22.04.2021,Perşembe,SOGAN (YEŞİL),Kg,3,5
22.04.2021,Perşembe,TERE,Bağ,"0,5","1,2"
22.04.2021,Perşembe,TURP (MUHTELİF),Kg,"1,5",3
26.04.2021,Pazartesi,BAKLA,Kg,3,"5,5"
26.04.2021,Pazartesi,BİBER (CİN),Kg,13,18
26.04.2021,Pazartesi,BİBER (ÇARLİ),Kg,"3,5",6
26.04.2021,Pazartesi,BİBER (DOLMA),Kg,5,7
26.04.2021,Pazartesi,BİBER (KIL),Kg,4,7
26.04.2021,Pazartesi,BİBER (KAPYA),Kg,"8,5",17
26.04.2021,Pazartesi,BİBER (SİVRİ),Kg,4,6
26.04.2021,Pazartesi,BİBER (KÖY),Kg,"3,5",6
26.04.2021,Pazartesi,BROKOLİ,Kg,6,9
26.04.2021,Pazartesi,DERE OTU,Bağ,"0,5",1
26.04.2021,Pazartesi,DOMATES (Çeri),Kg,8,13
26.04.2021,Pazartesi,DOMATES (MUHTELİF),Kg,"2,5",5
26.04.2021,Pazartesi,DOMATES (SALKIM),Kg,"3,5","5,5"
26.04.2021,Pazartesi,DOMATES (KÖY),Kg,4,"6,5"
26.04.2021,Pazartesi,EKŞİ OT (BAĞ),Bağ,"0,5",1
26.04.2021,Pazartesi,ENGİNAR (ADET),Adet,5,7
26.04.2021,Pazartesi,FASULYE (MUHTELİF),Kg,8,15
26.04.2021,Pazartesi,FESLEĞEN (REYHAN),Bağ,1,2
26.04.2021,Pazartesi,HAVUÇ,Kg,1,"2,5"
26.04.2021,Pazartesi,ISPANAK,Kg,"1,5",3
26.04.2021,Pazartesi,KABAK (BAL),Kg,1,2
26.04.2021,Pazartesi,KABAK (BEYAZ),Kg,"2,5",5
26.04.2021,Pazartesi,KABAK (KARA),Kg,"2,5",4
26.04.2021,Pazartesi,KARNABAHAR,Kg,1,"2,5"
26.04.2021,Pazartesi,KEREVİZ,Kg,2,4
26.04.2021,Pazartesi,LAHANA (BEYAZ),Kg,"0,7","1,8"
26.04.2021,Pazartesi,LAHANA (MOR),Kg,1,2
26.04.2021,Pazartesi,MANTAR (KÜLTÜR),Kg,7,14
26.04.2021,Pazartesi,MARUL (AYSBERK),Adet,"3,5","4,8"
26.04.2021,Pazartesi,MARUL (MOR),Adet,"2,5",4
26.04.2021,Pazartesi,MARUL (MUHTELİF),Adet,3,"4,8"
26.04.2021,Pazartesi,MAYDONOZ,Bağ,"0,5",1
26.04.2021,Pazartesi,NANE (BAĞ),Bağ,"0,7","1,2"
26.04.2021,Pazartesi,PANCAR (KIRMIZI),Kg,"1,5","2,5"
26.04.2021,Pazartesi,PATATES,Kg,"0,8","1,7"
26.04.2021,Pazartesi,PATATES (TAZE),Kg,"1,5","2,5"
26.04.2021,Pazartesi,PATLICAN (KEMER),Kg,2,4
26.04.2021,Pazartesi,PATLICAN (TOPAK),Kg,"1,5","3,5"
26.04.2021,Pazartesi,PIRASA,Kg,2,3
26.04.2021,Pazartesi,ROKA (BAĞ),Bağ,"0,5","1,2"
26.04.2021,Pazartesi,SALATALIK (SİLOR),Kg,"2,5",4
26.04.2021,Pazartesi,SALATALIK (MUHTELİF),Kg,2,4
26.04.2021,Pazartesi,SARIMSAK (KURU),Kg,15,30
26.04.2021,Pazartesi,SEMİZ OTU (BAĞ),Bağ,1,2
